hotelIndex,hotelName,address,rating,latitude,longitude
100,Comfort Stay,"Plot No.-1902, Sector-28, ",3,28.429703,77.31071
682,Hotel Viva Destination,"364/18, Civil Lines, Near Pushpanjali Hospital, Rajiv Chowk",3,28.451138,77.03258
140,Hotel Aeroporto,"A-386/2,Street No.-2, NH-8, Mahipalpur",3,28.548244,77.12826
302,Hotel SPB 87,"17A/2, WEA,  Landmark: Karol Bagh Metro Pillar No.98-99 (Behind St Thomas School) Karol Bagh ",3,28.64511,77.189545
518,Hotel Tavishk,"P-128, Sec 27, Golf Course Road",3,28.466206,77.0917
596,Hotel Dada Cottage,"2696, Rajguru Road,  Chuna Mandi, Paharganj",3,28.643557,77.21162
89,Wall City,"287, Opp. Fatehpur Masjid, Fatehpuri, Chandni Chowk",3,28.656496,77.223335
528,Hotel Hari Piorko,"4775, Main Bazaar, Near 6 Tooti Chowk, Paharganj",3,28.641048,77.21379
830,Hotel Hare Krishna,"1572-73, Main Bazar, Paharganj",2,28.640991,77.21166
105,Hotel Prince Palace Deluxe,"5115, Gali Thanedar Wali, Near Imperial Cinema, Behind Khosla Cafe Main Bazar Pahar Ganj",3,28.64236,77.21711
712,Qcent Hotel Gurgaon by Pacific Inn,"Plot No.-1, Sector-15, Phase-2, (near 32nd Milestone)",3,28.46286,77.04954
784,Empire BnB,"C-1 Green Wood City, Sector 45, Near Cyber Park",2,28.442415,77.06059
790,Gokul Residency Dwarka,"C-928, Sector-7, Ramphal Chowk, Dwarka ",3,28.585772,77.06989
393,Pacific Inn Eco Central-Huda City Centre,"Plot No.2024, Sec-45, Near Ramada Gurgan Central",3,28.449793,77.06709
85,Hotel Smart Palace,"A-132, Road No 5, Mahipalpur ",3,28.550411,77.1309
612,Hotel Star Plaza,"5158,  Main Bazar,  Pahar Ganj,  Near Imperial Cinema",3,28.6406,77.21096
213,Vipul Grand,"N 14/33, DLF Phase-II, Near Police Station",3,28.488373,77.089615
589,Hotel Sohana Palace,"2307-09, Chuna Mandi, Paharganj, New Delhi",2,28.641273,77.21109
862,Hotel Rama Inn,4 Arakashan Road Near New Delhi Railway Station,3,28.645569,77.21726
265,Hotel Airport City,"A-11, Street No- 1 Mahipalpur Extn. Near IGI Airport",3,28.546814,77.12643
100,Comfort Stay,"Plot No.-1902, Sector-28, ",3,28.429703,77.31071
682,Hotel Viva Destination,"364/18, Civil Lines, Near Pushpanjali Hospital, Rajiv Chowk",3,28.451138,77.03258
140,Hotel Aeroporto,"A-386/2,Street No.-2, NH-8, Mahipalpur",3,28.548244,77.12826
302,Hotel SPB 87,"17A/2, WEA,  Landmark: Karol Bagh Metro Pillar No.98-99 (Behind St Thomas School) Karol Bagh ",3,28.64511,77.189545
518,Hotel Tavishk,"P-128, Sec 27, Golf Course Road",3,28.466206,77.0917
596,Hotel Dada Cottage,"2696, Rajguru Road,  Chuna Mandi, Paharganj",3,28.643557,77.21162
89,Wall City,"287, Opp. Fatehpur Masjid, Fatehpuri, Chandni Chowk",3,28.656496,77.223335
528,Hotel Hari Piorko,"4775, Main Bazaar, Near 6 Tooti Chowk, Paharganj",3,28.641048,77.21379
830,Hotel Hare Krishna,"1572-73, Main Bazar, Paharganj",2,28.640991,77.21166
105,Hotel Prince Palace Deluxe,"5115, Gali Thanedar Wali, Near Imperial Cinema, Behind Khosla Cafe Main Bazar Pahar Ganj",3,28.64236,77.21711
